work_year,experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
2022,Senior,Fulltime,Machine Learning Engineer,65000,United Arab Emirates,Small
2022,Senior,Fulltime,Data Engineer,210000,United States,Medium
2022,Senior,Fulltime,Machine Learning Engineer,120000,United States,Medium
2022,Senior,Fulltime,Data Scientist,230000,United States,Medium
2022,Entry Level,Parttime,Data Scientist,100000,Algeria,Medium
2022,Midlevel,Fulltime,Data Scientist,100000,United States,Medium
2022,Entry Level,Contract,Applied Machine Learning Scientist,31875,Czech Republic,Medium
2022,Senior,Fulltime,Head of Data,200000,United States,Medium
2022,Midlevel,Fulltime,Principal Data Analyst,75000,Canada,Small
2022,Midlevel,Fulltime,Data Scientist,35590,Poland,Large
2022,Senior,Fulltime,Machine Learning Developer,78791,Canada,Medium
2022,Senior,Fulltime,Data Scientist,100000,United States,Medium
2022,Midlevel,Fulltime,Machine Learning Scientist,153000,United States,Medium
2022,Entry Level,Fulltime,Data Engineer,58035,Germany,Medium
2022,Senior,Fulltime,Data Scientist,165000,United States,Medium
2022,Senior,Fulltime,Research Scientist,93427,France,Large
2022,Entry Level,Fulltime,Data Scientist,52396,Canada,Large
2022,Senior,Fulltime,Machine Learning Engineer,62651,Netherlands,Large
2022,Midlevel,Fulltime,Head of Data,32974,Estonia,Small
2022,Entry Level,Fulltime,Data Scientist,40000,Malaysia,Large
2022,Midlevel,Fulltime,Machine Learning Engineer,87425,Australia,Large
2022,Senior,Fulltime,Data Engineer,115000,United States,Medium
2022,Entry Level,Fulltime,Data Scientist,86703,Australia,Medium
2022,Midlevel,Fulltime,Applied Machine Learning Scientist,75000,United States,Large
2022,Midlevel,Fulltime,Research Scientist,64849,Austria,Large
2022,Entry Level,Fulltime,Research Scientist,120000,United States,Large
2022,Midlevel,Fulltime,Applied Data Scientist,157000,United States,Large
2022,Entry Level,Fulltime,Computer Vision Software Engineer,150000,Australia,Small
2022,Midlevel,Fulltime,Business Data Analyst,70912,Canada,Large
2022,Entry Level,Fulltime,Data Engineer,65000,United States,Small
2022,Senior,Fulltime,Machine Learning Engineer,71444,Ireland,Small
2022,Entry Level,Fulltime,Data Analytics Engineer,20000,Pakistan,Medium
2022,Midlevel,Fulltime,Data Scientist,48000,United States,Small
2022,Senior,Fulltime,Data Science Manager,152500,United States,Medium
2022,Midlevel,Fulltime,Data Engineer,68147,France,Medium
2022,Midlevel,Fulltime,Data Scientist,122346,Switzerland,Large
2022,Senior,Fulltime,Applied Data Scientist,380000,United States,Large
2022,Midlevel,Fulltime,Data Scientist,69336,Canada,Medium
2022,Entry Level,Fulltime,Computer Vision Engineer,10000,Luxembourg,Medium
2022,Midlevel,Fulltime,Data Analyst,20000,Greece,Small
2022,Senior,Fulltime,Data Analytics Lead,405000,United States,Large
2022,Midlevel,Fulltime,Data Scientist,135000,United States,Large
2022,Senior,Fulltime,Applied Data Scientist,177000,United States,Large
2022,Midlevel,Fulltime,Data Scientist,78000,United States,Medium
2022,Senior,Fulltime,Data Analyst,100000,United States,Medium
2022,Midlevel,Fulltime,Data Analyst,85000,Canada,Medium
2022,Midlevel,Fulltime,Data Analyst,75000,Canada,Medium
2022,Senior,Fulltime,Machine Learning Engineer,214000,United States,Medium
2022,Senior,Fulltime,Machine Learning Engineer,192600,United States,Medium
2022,Senior,Fulltime,Data Architect,266400,United States,Medium
2022,Senior,Fulltime,Data Architect,213120,United States,Medium
2022,Midlevel,Fulltime,Data Scientist,141300,United States,Medium
2022,Midlevel,Fulltime,Data Scientist,102100,United States,Medium
2022,Midlevel,Fulltime,Data Engineer,206699,United States,Medium
2022,Midlevel,Fulltime,Data Engineer,99100,United States,Medium
2022,Senior,Fulltime,Data Engineer,130000,United States,Medium
2022,Senior,Fulltime,Data Engineer,110500,United States,Medium
2022,Senior,Fulltime,Data Analyst,99050,United States,Medium
2022,Senior,Fulltime,Data Engineer,160000,United States,Medium
2022,Senior,Fulltime,Data Scientist,205300,United States,Large
2022,Senior,Fulltime,Data Scientist,176000,United States,Medium
2022,Senior,Fulltime,Data Scientist,144000,United States,Medium
2022,Senior,Fulltime,Data Engineer,200100,United States,Medium
2022,Senior,Fulltime,Data Engineer,145000,United States,Medium
2022,Senior,Fulltime,Data Engineer,70500,United States,Medium
2022,Senior,Fulltime,Data Scientist,205300,United States,Medium
2022,Senior,Fulltime,Data Scientist,140400,United States,Medium
2022,Senior,Fulltime,Analytics Engineer,205300,United States,Medium
2022,Senior,Fulltime,Analytics Engineer,184700,United States,Medium
2022,Senior,Fulltime,Data Engineer,175100,United States,Medium
2022,Senior,Fulltime,Data Engineer,140250,United States,Medium
2022,Senior,Fulltime,Data Analyst,116150,United States,Medium
2022,Senior,Fulltime,Data Engineer,54000,United States,Medium
2022,Midlevel,Fulltime,Data Analyst,65438,Great Britain,Medium
2022,Senior,Fulltime,Data Analyst,80000,United States,Medium
2022,Senior,Fulltime,Data Scientist,210000,United States,Medium
2022,Senior,Fulltime,Data Analyst,69000,United States,Medium
2022,Senior,Fulltime,Data Analyst,150075,United States,Medium
2022,Senior,Fulltime,Data Engineer,25000,United States,Medium
2022,Senior,Fulltime,Data Analyst,126500,United States,Medium
2022,Senior,Fulltime,Data Analyst,106260,United States,Medium
2022,Senior,Fulltime,Data Analyst,105000,United States,Medium
2022,Senior,Fulltime,Data Analyst,110925,United States,Medium
2022,Midlevel,Fulltime,Data Analyst,45807,Great Britain,Medium
2022,Senior,Fulltime,Data Analyst,60000,United States,Medium
2022,Senior,Fulltime,Data Architect,192564,United States,Medium
2022,Senior,Fulltime,Data Architect,144854,United States,Medium
2022,Senior,Fulltime,Data Analytics Manager,150260,United States,Medium
2022,Senior,Fulltime,Data Analytics Manager,109280,United States,Medium
2022,Midlevel,Fulltime,Data Scientist,160000,United States,Medium
2022,Entry Level,Fulltime,Data Analyst,67000,Canada,Medium
2022,Entry Level,Fulltime,Data Analyst,52000,Canada,Medium
2022,Senior,Fulltime,Data Engineer,154000,United States,Medium
2022,Senior,Fulltime,Data Engineer,126000,United States,Medium
2022,Senior,Fulltime,Data Analyst,129000,United States,Medium
2022,Senior,Fulltime,Data Analyst,150000,United States,Medium
2022,Midlevel,Fulltime,AI Scientist,200000,United States,Large
